day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
1,2014,9,1,01/09/2014,79.3,70.6,1015.1,9.3,2.6,5.1,999.9,90,73,0.62,999.9,0,319157
4,2014,9,18,18/09/2014,65.8,47.4,1015.4,10,1.8,5.1,999.9,75.9,55,0,999.9,0,464358
3,2014,9,17,17/09/2014,64.3,45.5,1016.4,10,2.4,6,999.9,73,55,0.34,999.9,0,451216
2,2014,9,16,16/09/2014,63.5,53.5,1016.7,8.3,1.7,8,999.9,71.1,55,0.03,999.9,0,447618
5,2014,9,26,26/09/2014,66.2,51.3,1022.6,10,4.3,8.9,15.9,77,57,0.3,999.9,0,448361
7,2014,9,21,21/09/2014,70.2,65,1010.6,5.1,1.2,6,999.9,75,57,0.15,999.9,0,402953
4,2014,9,25,25/09/2014,61.7,53.7,1028.9,8.6,7.4,11.1,20,66,57,0.02,999.9,0,426440
1,2014,9,22,22/09/2014,67.3,52.7,1009.5,9.9,5.3,8.9,20,75,61,0,999.9,0,393656
4,2014,9,11,11/09/2014,73.9,63.5,1013.1,10,4,8,17.1,82.9,63,0,999.9,0,478607
2,2014,9,9,09/09/2014,68.1,56,1024.3,10,7.1,11.1,18.1,75,63,0,999.9,0,450763
3,2014,9,10,10/09/2014,69.4,56.7,1019.5,10,5.6,9.9,18.1,78.1,63,0,999.9,0,466592
2,2014,9,30,30/09/2014,68.8,57.9,1013.8,9.4,3.3,8.9,15,79,66,0,999.9,0,435417
2,2014,9,2,02/09/2014,83.5,69.5,1012.1,9.9,3.6,8.9,15.9,91.9,75,0,999.9,0,408333
6,2014,9,27,27/09/2014,70.7,53.4,1022.3,10,2.7,7,999.9,82.9,57.9,0,999.9,0,486921
4,2014,9,4,04/09/2014,77.9,56.9,1020.6,10,1.3,5.1,999.9,87.1,69.1,0,999.9,0,469500
5,2014,9,5,05/09/2014,78.2,67.8,1020.1,8.9,3.1,6,15,87.1,69.1,0,999.9,0,496714
7,2014,9,7,07/09/2014,72.6,57.5,1017.1,9.9,4.1,8.9,18.1,91,64.9,0.11,999.9,0,445959
1,2014,9,8,08/09/2014,70.1,52.2,1024.6,10,6.1,12,17.1,81,64.9,0,999.9,0,430611
